ligament_mm,support_span_mm,bearing_width_mm,Kt_bending,minimum_passing_diameter_mm,station_above_U_mm,ultimate_vm_MPa,MS_ultimate_strength,ultimate_bearing_pressure_MPa,MS_ultimate_bearing,status
20.0,150.0,30.0,3.0,34.0,535.780356685791,1787.9288761426383,0.04142845101152237,111.8046000196175,2.7000752877566345,PASS
20.0,180.0,20.0,1.0,22.0,529.780356685791,1412.1329349686973,0.31857274474040564,218.11970040882167,0.89659822938841,PASS
20.0,180.0,20.0,1.5,24.0,530.780356685791,1621.7399904812655,0.14814952515750401,200.09645760514908,1.0674300911734695,PASS
20.0,180.0,20.0,2.0,26.0,531.780356685791,1696.2179092966423,0.09773631665762883,184.84602232125147,1.2380002144224709,PASS
20.0,180.0,20.0,2.5,28.0,532.780356685791,1695.4158454197861,0.09825563151969208,171.774221515184,1.4083091976262216,PASS
20.0,180.0,20.0,3.0,30.0,533.780356685791,1653.113397540738,0.12635951216051655,160.44532828952646,1.57835763746015,PASS
20.0,180.0,25.0,1.0,22.0,529.780356685791,1641.6524622796878,0.1342230117416725,174.49576032705735,1.3707477867355125,PASS
20.0,180.0,25.0,1.5,26.0,531.780356685791,1487.3244785513032,0.2519124285600689,147.87681785700119,1.7975002680280885,PASS
20.0,180.0,25.0,2.0,28.0,532.780356685791,1583.8292476650772,0.17563178148465775,137.4193772121472,2.010386497032777,PASS
20.0,180.0,25.0,2.5,30.0,533.780356685791,1607.716656041574,0.15816427789241638,128.35626263162118,2.2229470468251873,PASS
20.0,180.0,25.0,3.0,32.0,534.780356685791,1588.79410915859,0.17195802103401392,120.42603797697502,2.4351826609889518,PASS
20.0,180.0,30.0,1.0,24.0,530.780356685791,1444.8158775755028,0.2887455273017625,133.39763840343272,2.1011451367602043,PASS
20.0,180.0,30.0,1.5,26.0,531.780356685791,1696.2179092966423,0.09773631665762883,123.23068154750098,2.3570003216337065,PASS
20.0,180.0,30.0,2.0,28.0,532.780356685791,1807.0024431744955,0.030435795498364726,114.51614767678932,2.612463796439333,PASS
20.0,180.0,30.0,2.5,30.0,533.780356685791,1834.7003635373967,0.014879615770047705,106.96355219301765,2.867536456190225,PASS
20.0,180.0,30.0,3.0,32.0,534.780356685791,1813.4003500297758,0.026800287079147278,100.35503164747918,3.1222191931867425,PASS
