,ID_mm,wall_mm,OD_mm,A_mm2,I_mm4,J_mm4,mass_per_m_kg,physical_pressure_MPa,virtual_pressure_MPa,limit_governing_case,limit_governing_surface,limit_vm_MPa,MS_limit_yield,ultimate_governing_case,ultimate_governing_surface,ultimate_vm_MPa,MS_ultimate,limit_tau_screen_MPa,MS_limit_shear,ultimate_tau_screen_MPa,MS_ultimate_shear,virtual_vm_MPa,virtual_governing_surface,MS_virtual_vs_yield,PASS
51,66.0,2.25,70.5,482.4308218668828,281204.4032772511,562408.8065545022,3.796730568092368,9.292136857325454,10.514733499585716,LC4+,outer,876.8481505573316,0.7300601010970746,LC4+,outer,1309.0674251908492,0.4223866274332954,36.787699283643775,22.80796775595235,55.181548925465655,18.481624241521985,158.21577961504326,inner,8.588171316988932,True
52,66.0,2.5,71.00000000000001,537.9977419272526,315972.7988056496,631945.5976112991,4.234042228967478,9.292136857325454,10.514733499585716,LC4+,outer,785.9142961036582,0.930235914425859,LC4+,outer,1173.3048803971662,0.5869703016744539,32.98809384668346,25.55019603227899,49.4821407700252,20.72553944719995,143.62815793934058,inner,9.561995793615097,True
53,66.0,2.75,71.50000000000001,593.9573610693209,351483.54899653734,702967.0979930747,4.674444431615556,9.292136857325454,10.514733499585716,LC4+,outer,711.5043878706784,1.1321021006489236,LC4+,outer,1062.2118716479606,0.7529459514618435,29.8801246743513,28.31180401373867,44.82018701152695,22.98531271086856,131.6988133387848,inner,10.51870667275974,True
54,66.0,3.0,72.00000000000001,650.3096792930877,387747.1462785037,775494.2925570073,5.1179371760366,9.292136857325454,10.514733499585716,LC4+,outer,649.488220644745,1.3356851622252344,LC4+,outer,969.6221946048277,0.9203355805596672,27.29087474031181,31.09279170033139,40.93631211046771,25.260944032527817,121.7630758187635,inner,11.458620889784,True
55,66.0,3.25,72.50000000000001,707.0546965985535,424774.15671121527,849548.3134224305,5.564520462230616,9.292136857325454,10.514733499585716,LC4+,outer,597.0064003511823,1.541011284146438,LC4+,outer,891.2669065119711,1.08916093080024,25.100632363208188,33.893159092057175,37.65094854481229,27.55243341217774,113.36079137339246,inner,12.382051956599726,True
56,66.0,3.5,73.00000000000001,764.1924129857179,462575.2199854174,925150.4399708348,6.014194290197599,9.292136857325454,10.514733499585716,LC4+,outer,552.0164833602762,1.7481063441540794,LC4+,outer,824.0967334212022,1.259443490656718,23.22388929596935,36.712906188916,34.83583394395402,29.85978084981832,106.16328051655992,inner,13.289309755865824,True
57,66.0,3.75,73.50000000000001,821.7228284545812,501161.04942293226,1002322.0988458644,6.466958659937554,9.292136857325454,10.514733499585716,LC4+,outer,513.0206600664898,1.9569959225489864,LC4+,outer,765.8755145201009,1.4312045034717331,21.597939579429557,39.55203299090788,32.396909369144325,32.18298634544956,99.929513400869,inner,14.180700359407613,True
58,66.0,4.0,74.00000000000001,879.6459430051431,540542.4319766604,1081084.8639533208,6.922813571450476,9.292136857325454,10.514733499585716,LC4+,outer,478.895557121186,2.167705311611648,LC4+,outer,714.926104830465,1.6044649753579052,20.175753825873368,42.4105394980328,30.263630738810047,34.522049899071455,94.4787192673336,inner,15.056525869148915,True
59,66.0,4.25,74.50000000000001,937.9617566374033,580730.22823058,1161460.45646116,7.381759024736364,9.292136857325454,10.514733499585716,LC4+,outer,448.7821094613911,2.380259524651368,LC4+,outer,669.9659593008315,1.7792456827853775,18.92136846135916,45.28842571029077,28.38205269203874,36.87697151068399,89.67266314850808,inner,15.917084278936564,True
60,66.0,4.5,75.0,996.6702693513614,621735.3723997461,1243470.7447994922,7.843795019795214,9.292136857325454,10.514733499585716,LC4+,outer,422.0121416582321,2.594683304701094,LC4+,outer,629.9975221951993,1.9555671798707095,17.80681188729567,48.18569162768174,26.710217830943503,39.24775118028714,85.40383033764643,inner,16.762669355724423,True
